Job Title,Perusahaan,Lokasi,Status Pekerjaan,Gaji,Description and Requirement,Bidang Pekerjaan
IT Infrastructure Staff,ASRI (a subsidiary of Agung Sedayu Group) ,Jakarta Raya,Penuh waktu,,"Qualification:Bachelor Degree in Computer Science / Information Technology or related major from reputable universityHave minimum 1 year experience in related fieldBasic computer Knowledge (Peripherals hardware, OS, Network, Security, CCTV)Willing to be placed at Menara Jakarta (Central Jakarta) / Fatmawati City Center (South Jakarta) / and mobile unit - to - unitRequired Skill:Install, configure, test and maintain operating systems, application software and system management toolsExperience in tuning OS windows Server 2016 / Linux Redhat / Active Directory or similarKnowledge of networking, virtualization and storage would be advantage.Able to setup and configure switch manage, firewall and security.Prepare and maintain procedures and documentation related to computer network, CCTV, end point antivirus, access point, ip phone ,Able to repair hardware such as printer, CPUProject Management SkillTime TableProblem solvingAnalytical SkillCommunication Skill",Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi)
Desk Collection Staff,PT. Kredit Utama Fintech Indonesia ,"Jakarta Pusat, Jakarta Raya",Penuh waktu,Rp 4.500.000 – Rp 6.000.000 per month,"Melakukan proses penagihan kepada nasabah yang sudah memasuki jatuh tempo - keterlambatan;Memastikan nasabah memahami bagaimana cara melakukan pembayaran, tahu total tagihan serta memandu tata cara pembayaran;Memastikan terjaganya kerahasiaan data nasabah; Kualifikasi:Lulusan baru maupun memiliki pengalaman kerja minimal 1 tahun dipersilakan untuk melamar;Memiliki pengalaman sebagai Desk Collection dari perusahaan Fintech terdaftar & berijin dari OJK menjadi nilai tambah;Telah mengikuti sertifikasi Desk Collection yang diselenggarakan oleh AFPIBersedia bekerja pada hari Sabtu atau Minggu (Akhir pekan)Mampu menggunakan aplikasi Komputer seperti Word dan ExcelMinimal SMA/ Sederajat;",Kredit (Perbankan & Layanan Finansial)
SENIOR SYSTEM ADMINISTRATOR,PT Indonesia Satu Tujuh,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"FULL Work From Office (Onsite)
﻿Responsibilities :Monitoring, maintain server and all messaging systemMaintenance and monitoring computer networksMonitoring and maintain mail systemConfigure, Integration and Deploy Server and ApplicationDeploy, maintain Virtual Machine Software (Xen and VMWare)Upgrade computer systems as appropriate to meet company needsVisiting Data center for regular maintenance or/and until emergency mattersMonitoring application operation and process, and urgently maintenance if needed
Requirements :Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent.At least 5 Year(s) of working experience in the related field is required for this position. 2 years as Senior System Administrator.Experience in VAS services and technology.Linux sysadmin hands-on skills and experience.Linux networking hands-on skills.Degree in IT/Computer related field.PHP and MySQL DB knowledge is required.Good analytical skills and deep troubleshooting investigation results.Can work with a team or solo.Good team player and able to work under pressure.",Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi)
System Analyst & Implementor,PT Media Tiga Warna,"Tangerang, Banten",Penuh waktu,,"Media Tiga Warna is currently seeking to recruit competent, committed, self-motivated and enthusiastic System Analyst & Implementor to join our team.Your main responsibilities include, but are not limited to:Follows established policies and practices for implementation services.Generates and maintains project plans.Ensures milestones and deliverables for all assigned projects are completed according to plans.Tracks and analyzes the status of projects and provides regular project reports.Builds and maintains strong relationships with customers by understanding their needs, communicating effectively and ensuring that we deliver value.Works with clients to identify and document business requirements, and identify systems gaps that need to be addressed through development of new system features or customizations.Interprets business requirements into technical solutions, participates in issue resolution, and assists with risk mitigation and avoidance.May assist in development of technical project estimates, scope analysis, and technical documentation.Maintain team communication daily (daily/ad-hoc, weekly, monthly)Monitors software release schedule, keeping up-to-date on new functionality, and as needed offers hands-on training relative to each release to clients.Education and experience requirement:Bachelor's degree in Information Technology, Computer Science, Business, or related fieldMinimum 1 recent year Technology Implementor experience related to packaged business applicationsFamiliar with create documentation for project (FSD / TSD / BRD, MOM, etc)Understanding in Hospital business experience preferablyIf you feel that you can meet the qualification and up for the challenge, please send your complete resume and current color photograph by clicking button bellow",Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi)
Business Analyst (IT),PT. Pralon ,"Tangerang, Banten",Penuh waktu,,"Requirements :Bachelor Degree in Information Systems, Informatics Engineering, Computer Science or Related FieldFresh Graduate welcome to applyGood Analytical and Problem Solving Skill; Logical and CriticalFamiliar with concepts of SWOT, MOST and PESTLE AnalysisUnderstanding Database Software; mySQL/ PostgreSQL/ Ms. SQL ServerUnderstand Basic Statistics; SPSS/ STATA (Value Added)Hardworking, teamwork, easy going, responsibleWilling to be placed at Head Office PT.Pralon, Alam Sutera, Tangerang

Job Description :Analyze and evaluate business model/processes related to system developmentAccompanying the Programmer Team in the system development processDocumenting system development processSupervision and control to ensure functionality system",Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi)
IT Solution Architect,PT Septagon Telematika Indonesia,"Jakarta Timur, Jakarta Raya",Penuh waktu,"Rp 17,000,000 – Rp 21,000,000 per month","Job Description:Meet business users to gather and elicit the business and stakeholders requirements to define product or solution scope.Analyze and study the requirements to identify the scope of the development.Coordination and consolidation with other divisions related to product development plans and execution.Analyze and solutions design based on products/solutions scope, written in Feasibility Study(FS) document and System Design Document.Facilitate to explain product or solution design or solution to the member team.Collaborate with PM to make project plans and development methodsDefined various test case scenarios that would be used to test the interfaces. Requirement:Minimum S1 Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent.Minimun 8 years practical experience in IT architecture and design experience.Understand Application System Analysis & Design, Client Server & N-tiers Application Architecture, Internet Network and Security Architecture.Understand application infrastructure (Cloud, VM and Hardware)Good knowledge in surrounding system integration using web services/REST API or to DB.Having knowledge about SQL.Good communication skill.Strong willingness to learn new things from any situation as a professional consultant.Have certificates of competency on IT Project Manager, Cloud, or Database.Wiling to be placed at the Client.",Arsitek (Teknologi Informasi & Komunikasi)
DBA And IT Infrastructure Analyst,Mega Insurance ,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"Job Description :In-depth understanding of SQL Server database structure, database security, and T-SQL programming languangeproficient in data analysis and identifying emerging issues, generating reports, and utilizing SQL server-related technologies such as Care system.Capable of proficiently managing SQL Server databases, handling complex tasks like data migration, backup and recovery, and database security, while meeting tight deadlines Capable of proficiently managing   SQL Server databases, handling complex tasks like data migration, backup and recovery, and database security, while meeting tight deadlines.Perform automate processes, tracking issues, monitoring tools and createdocumentation of changesProviding support projectfrom related user about technology, database and infrastructure.Effective communication skills, able to articulate technical matters simply and concisely to both technical and non-technical team members
Job Requirements :Minimum of 2 years’experience as DatabaseAdministratorBachelor's degree in computer science, information systems or related fieldProficient in SQL, database backup and recovery, performance tuning and optimizationFamiliar with database security best practices and compliance standardsFamiliar with setting up database clusterand replicationKnowing about IT Infrastructure such as ActiveDirectory, Virtual Machineand Network Security.Experience in Windows Server Administration knowledge.Point plus, if you have experience or interest in working IT infrastructure (backup and restore system such as Rubrik, end point security system) you will apply IT infrastructure principles to ensure the reliability, scalability and efficiency of our systems.You will also monitor,troubleshoot and automate various aspects of our infrastructure and operations.",Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi)
Database Administrator (DBA),PT Kredit Biro Indonesia Jaya (Credit Bureau Indonesia),Jakarta Raya,Penuh waktu,,"PT Kredit Biro Indonesia Jaya (KBIJ), is established in 2014, and obtained a business license to operate as a private credit bureau (Lembaga Pengelola Informasi Perkreditan, LPIP) from Financial Services Authority (Otoritas Jasa Keuangan, OJK) in 2015.In November 2021, after obtaining approval from OJK, KBIJ received additional capital from new shareholders and also a new management team is appointed.With the new management team and in line with its vision and mission, in July 2022, KBIJ transformed into a new identity, i.e. CBI (Credit Bureau Indonesia), which aiming to provide new and leading-edge services and products. This new identity will also strengthen KBIJ’s position as the “best-in-class, modern and innovative” credit bureau in Indonesia.CBI is supported by the latest IT system and infrastructure, and in-house built core applications. The application architecture adopts modern applications based on microservices and intensive use of artificial intelligence technology. To enrich is scope of data, CBI has partnerships with various credible alternative data sources.We are looking for a DBA based in Jakarta. You will be responsible for construction, operation and maintenance, optimization and security of the database system. If you’re looking to work alongside world-class talents and use sophisticated data, analytics and technology to make a change in the digital economy, join us! ResponsibilitiesResponsible for the construction, operation and maintenance, optimization and security of the database system;Responsible for establishing and improving database platform construction standards and specifications, writing database-related operation manuals and maintaining technical documents;Responsible for the monitoring and tuning of high-availability clusters of PostgreSQL, MySQL, TiDB, redis and other databases; responsible for the formulation and implementation of database backup and recovery strategies to improve the quality of data services;Assist in improving the automated operation and maintenance system of the database management team and improve the work efficiency of the DBA team;Responsible for following up the daily database failure recovery, root cause analysis and subsequent improvement implementation;Responsible for researching and learning cutting-edge database technologies, and combining new technologies with business system practices; RequirementsMore than 3 years of working experience in database operation and maintenance management;Able to independently complete database operation and maintenance management work including PostgreSQL and MySQL;Correct working attitude, strong logical analysis ability, good at communication;",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
IT Application Support,PT Accelist Lentera Indonesia ,"Jakarta Utara, Jakarta Raya",Kontrak,,"Deskripsi pekerjaan:Menyelesaikan masalah yang terkait dengan aplikasi.Melakukan troubleshoot sistem dan mencari solusi serta memperbaiki bersama dengan developer.Membuat log issue dan catatan perbaikan serta operation guide sistem.Persyaratan:Minimal D3 Teknologi Informasi / Sistem Informasi/ sejenisnya. (Fresh graduate welcome to apply).Memiliki pengalaman menggunakan MySQL, atau Database lainnya.Mampu menganalisis dan mengatasi masalah pada aplikasi.Memiliki tanggung jawab, disiplin, rasa ingin tahu yang besar, kritis, komunikasi yang baik.Dapat bekerja sama dalam tim.Memiliki keterampilan komunikasi yang baik.Bersedia berkerja dalam sistem shift.Penempatan kerja di client secara Hybrid Sunter, Jakarta Utara",Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi)
IT SUPPORT,WARINGIN GROUP - PROPERTY,"Surabaya, Jawa Timur",Penuh waktu,,"Tugas & Tanggung Jawab :
• Menyediakan pelayanan teknis dalam hal penginstalan & pengkonfigurasian perangkat komputer & CCTV antara lain: hardware & software, sistem, jaringan, printer & scanner 
• Memonitor & memelihara sistem jaringan komputer dan melakukan backup apabila terjadi gangguan/kerusakan/perbaikan
• Merespon dan memberikan solusi secara cepat dan tepat terhadap setiap permasalahan yang ada baik hardware maupun software
• Memberikan rekomendasi atau masukan yang berkaitan dengan pengembangan sistem dan teknologi informasi kepada atasan
• Memastikan kerahasiaan tentang sistem aplikasi perusahaan dan menjaga keamanan data yang terkandung di dalamnya
Kualifikasi :• Usia 25-30 Tahun• Pengalaman minimal 1 Tahun• S1-Ilmu Komputer/Teknologi Informasi atau setara
• Memahami Problem solver & customer oriented
• Mempunyai pengetahuan dan pengalaman tentang TCP/IP, Subnetting, VLAN, sub-interface, VPN, Access Point (Unifi, Aruba, Cisco, etc), Switching/Routing dan Security Firewall (HP Procurve Fortigate, Mikrotik), Network Camera CCTV (NVR, IP Camera)
• Mempunyai pengetahuan dan pengalaman installasi dan troubleshoot Windows dan Linux OS (Server ataupun workstation)
• Mempunyai kemampuan mendesain jaringan, implementasi, operation, support, deployment, distribusi network system & server
• Cisco CCNA/CCNP atau network/security certification lebih di utamakan
• Pengalaman menggunakan database SQL Server, Oracle, My-SQL",Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi)
IT Asset & Support Staff,PT Griya Miesejati (Bakmi GM) ,"Jakarta Barat, Jakarta Raya",Penuh waktu,,"Deskripsi Pekerjaan:
- Merencanakan, melaksanakan, dan memonitor semua kegiatan yang berhubungan dengan support atau layanan hardware dan network di dalam perusahaan
- Menangani manajemen aset IT, pemeliharaan inventaris IT
- Menangani invoice, SPK, dan persyaratan dokumen yang diperlukan 
- Mencatat dan mengelola insiden permintaan klien dalam sistem pelacakan requestKualifikasi:
1. Usia maksimal 30 tahun
2. Pendidikan S1 Sistem Informatika atau Teknik Informatika (terbuka untuk fresh graduate)
3. Memiliki kemampuan dalam pembuatan Process Flow Diagram
4. Memiliki keterampilan dalam MS Office dan Google Form sejenis
5. Memiliki kemampuan administratif, kompeten dalam manajemen asset file
6. Memiliki pengetahuan tentang keterampilan pemecahan masalah perangkat keras/perangkat lunak IT merupakan nilai tambah
7. Lebih disukai jika paham terkait database MS SQL
8. Bersedia bekerja secara Mobile ke beberapa tempat dan mempunyai SIM C",Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi)
Account Receivable (Tangerang),Siloam Hospitals Group (Tbk) ,"Tangerang, Banten",Penuh waktu,,Job Descriptions:Oversee all operational accounting and financing activitiesResponsible for the end-to-end process of accounting and financing Job Requirements:Candidate must possess at least a Bachelor's Degree in Finance/ Accountancy/ Banking or equivalentAt least 1 - 2 year(s) of working experience in the related field is required for this positionWilling to be placed in Siloam Hospital Lippo VIllage,Akuntansi & Pelaporan Finansial (Akuntansi)
Finance Accounting Manager,PT. RC Grease & Lubricants,"Jakarta Selatan, Jakarta Raya",Penuh waktu,Rp 15.000.000 – Rp 18.000.000 per month,"About usWe are a grease and lubricants manufacturing company with Hipex, a Korea technology. Our head office is located in Tebet Barat, Jakarta Selatan and the factory is addressed in Krakatau Industrial Estate Cilegon. Qualifications & experienceMinimum a Bachelor’s Degree in Accounting or Finance, Fluent in Speaking English, good at writing or listening as wellMinimum 5 years of working experience in the same field and managerial level Having a professional certificate is preferable (CA, CPA, or CFA) Being familiar with ERP Ecount systemMastering cost accounting for manufacturing industry, making cashflow, and forecasting Having a strong knowledge regarding taxationBeing excellent at making or creating financial/accounting report or statement systematically and in details.  Having deep analysis skill related with financial/accounting issueHaving a high accuracy in numbers, data, or making reportsBeing able to join immediatelyTasks & responsibilitiesWorking closely with and reporting to the President Director directlyProviding leadership, direction, and management of the finance and accounting team of head office in Jakarta & Factory in CilegonCreating cashflow, financial planning, financial report or statementAnalyzing financial report, statement, or dataManaging the daily activities of the financial transactions (sales, purchases, receipts, payments) and ensuring that all major company, month-end, and year-end report are completed accurately and on timeOverseeing and managing general accounting functions, including, but not limited to accounts payable, accounts receivable, general ledger, and taxesManaging regular, annual, and multi-year budgets that are adequate for the company’s needs including preparation of periodic budget forecastsEnsuring compliance with all statutory accounting; external & internal audit and tax complianceWorking with other department heads to monitor each department and make recommendations to increasing budget efficiencyPerforming other tasks assigned by the President Director, etc. BenefitsTax, BPJS Ketenagakerjaan and Kesehatan are covered by the companyParking is covered by the companyYou could choose your flexible office hour:
8:00 AM to 5.00 PM, or
8:30 AM to 5:30 PM,
working days: Monday to Friday Permanent employment",Akuntansi & Pelaporan Finansial (Akuntansi)
ACCOUNTING,PT. Vdenmenv Topten Indonesia,Jakarta Raya,Penuh waktu,"Rp 5,000,000 – Rp 7,000,000 per month","Kualifikasi / 资格:Pendidikan minimal D3 Akuntansi / 至少拥有会计学学士学位Pengalaman minimal 1 tahun / 至少有1年的工作经验Mahir berbahasa Mandarin baik lisan & tulisan / 精通中文，听说读写皆佳Mahir mengoperasikan ms. Office (khususnya Word & Excel) / 熟练操作Microsoft Office（尤其是Microsoft Word和Microsoft Excel）Memiliki integritas yang tinggi, jujur dan bisa dipercaya / 具有高度诚信、诚实守信的品质Mampu bekerja secara tim atau perorangan / 能够在团队或个人环境中工作Mampu menghadapi target dan bekerja dibawah tekanan / 能够达到目标并在压力下工作Memiliki ketelitian dan kemampuan berhitung yang baik / 具有良好的准确性和计算能力Memiliki daya tahan tubuh yang baik. / 拥有良好的身体素质Job Description /工作描述：Menyiapkan laporan keuangan perusahaan, termasuk neraca, laporan laba rugi, dan laporan arus kas / 准备公司财务报告，包括资产负债表、损益表和现金流量表Melacak transaksi keuangan perusahaan, termasuk penjualan dan pengeluaran, untuk memastikan keakuratannya / 跟踪公司财务交易，包括销售和支出，以确保准确性Mengembangkan dan mengelola anggaran untuk perusahaan / 制定和管理公司预算Melakukan audit untuk memastikan bahwa pencatatan keuangan suatu perusahaan akurat dan sesuai dengan peraturan yang berlaku / 进行审计，确保公司财务记录准确且符合适用法规Menganalisis data keuangan menggunakan rasio keuangan, analisis tren, dan teknik lain untuk mengidentifikasi area yang perlu ditingkatkan / 使用财务比率、趋势分析和其他技术分析财务数据，以识别需要改进的领域Memeriksa dan melakukan verifikasi kelengkapan dokumen yang berhubungan dengan transaksi keuangan / 检查和验证与财务交易相关的文件的完整性",Akuntansi & Pelaporan Finansial (Akuntansi)
Finance Accounting Staff,PT Biota Indonesia,"Jakarta Barat, Jakarta Raya",Penuh waktu,,"About usPT BIOTA INDONESIA exclusively represent numerous reputable, reliable, and well-known multinational principals in Food, Paints + Coatings, Ceramics, Glass, and General Chemicals.Qualifications & experiencePendidikan S1 jurusan AkuntansiDiutamakan pengalaman 2 tahun di bidang yang sama, fresh graduate dapat melamar jugaDapat mengoperasikan Microsoft OfficeJujur, beretika baik, bertanggung jawab, mampu bekerja dengan giat dan di dalam tim, serta berkomunikasi yang baikUsia maksimal 30 tahunTasks & responsibilitiesMembuat dan cek input atas job atau project, voucher, dan kontrol, baik secara manual di Excel maupun di sistem program accountingMembuat dan melengkapi invoice, mengontrol pengembalian surat jalan sampai dengan pembuatan invoiceFollow-up dan filing tanda terima, outstanding piutang customer, dokumen perpajakan, bukti potong, dan yang terkaitMembantu pemeriksaan stok barang masuk dan keluar dari gudang, beserta opname barang dan kas gudangMembuat laporan pendukung keperluan accountingBenefitsUang makan harianAsuransi kesehatan swasta",Akuntansi & Pelaporan Finansial (Akuntansi)
Financial Reporting,PT Bhinneka Mentari Dimensi ,"Jakarta Pusat, Jakarta Raya",Penuh waktu,"Rp 10,000,000 – Rp 15,000,000 per month",Financial Reporting memiliki peran dalam menyusun dan menganalisa setiap pendanaan anggaran secara berkala yang akan dikeluarkan oleh PT.Bhinneka Mentari Dimensi hingga mengelola proses month end closing.Tugas dan tanggung jawab :Menyusun laporan corporate performanceMenyusun laporan realisasi anggaran secara berkalaMelakukan analisa implementasi anggaranMelngelola penyusunan laporan pendanaanMengelola proses month-end closingMelakukan analisa dan penyusunan laporan potensial impairment terhadap nilai asetMengelola penyusunan laporan expenseMelakukan monitoring beban dari seluruh account dan responsibility centerMengelola penyusunan laporan revenue dan laporan keuangan perusahaan Kualifikasi :Berpengalaman bekerja bagian accounting minimal 2 tahun (alumni Big 4/KAP diutamakan)Memiliki pemaham mengenai ilmu finance and accountingFaham mengoperasikan Ms.ExcellFaham mengenai sistem seperti SAP dan Orackel,Akuntansi & Pelaporan Finansial (Akuntansi)
Finance Accounting Internship,PT Otto Menara Globalindo (McEasy) ,"Surabaya, Jawa Timur",Kasual,,"Deskripsi Pekerjaan : Membantu filing dokumen AP Membantu cek kelengkapan dokumen AP Membantu update file excel procurement (PR, RO, pembelian, penerimaan barang) Rekap dan proses billing tagihan  Kualifikasi :Kandidat minimal D3/S1, Finance/Accounting/Banking atau setara Mampu mengoperasikan Ms Office (Word, Excel, dan PPT) Teliti dan akurat dalam perhitungan Jujur, disiplin, loyal, tegas, dan mampu bekerja dibawah tekanan",Pegawai/Staf Akuntansi (Akuntansi)
ACCOUNTING / TAX / FINANCE,PT Multi Global Kiat Sejahtera,"Medan, Sumatera Utara",Penuh waktu,,"CHIEF ACCOUNTINGJOB DESCRIPTION :Membuat dan menyusun laporan keuangan perusahaan Bertanggung jawab dan memastikan seluruh fungsi akuntansi berjalan dengan lancar.Bertanggung jawab dan memastikan seluruh pelaporan pajak dengan benar, akurat dan tepat waktu QUALIFICATION :Pendidikan minimal S1 AkuntansiDiutamakan yang memiliki pengalaman minimal 3 tahun Menguasai penggunaan Ms. Office dan Software AccountingMenguasai prosedur laporan keuangan dan pajak.Menguasai pembukuan / jurnalMampu menyusun laporan keuanganMemiliki kemampuan komunikasi yang baik.Disiplin, target oriented, mandiri dan mampu bekerja dibawah tekanan  FINANCE / ACCOUNTING / TAXJOB DESCRIPTION :Menghitung dan melakukan pelaporan untuk PPN & PPh (21, 23, 4 ayat 2, dan lainnya)Mengarsip dokumen & membuat data perusahaan terkait Pajak dengan rapi untuk memudahkan penelurusan dataBekerja dengan Deadline tepat waktu (Laporan Keuangan bulanan) dan dapat berkomunikasi dengan pihak external QUALIFICATION :Pendidikan minimal S1 Akuntansi atau sedang kuliah jurusan Akuntansi/ PerpajakanMemahami Perpajakan dan mengerti jurnal basicPengalaman minimum 2 tahunBisa menggunakan software accounting (contoh : Accurate)Bisa berbahasa Hokkian menjadi nilai tambah",Akuntansi & Pelaporan Finansial (Akuntansi)
Finance & Accounting Staff,PT Atlantik Internasional Akses,"Tangerang, Banten",Penuh waktu,Rp 5.000.000 – Rp 7.000.000 per month,"PT Atlantik Internasional Akses was established on November 14 2016. In line with the government's program to build infrastructure to support fast internet connections throughout Indonesia, PT Atlantik Internasional Akses is committed to actively participating in implementing it, based on confidence in own abilities professionally and responsibly. The current business focus is building telecommunications networks and providing related services, including: providing materials, marketing products, installing and maintaining telecommunications networks. PT Altantik Internasional Akses is ready to collaborate with all related sectors in the field of construction services and goods suppliers, both private and state-owned, with full responsibility and mutual benefit. The trust is an honor that will be maintained and implemented as well as possible in order to obtain satisfactory results for both parties. We always prioritize our user satisfaction with optimal service.We are seeking for the best talented people to join with us as Finance & Accounting with job responsibilities as below:1. Performs general cost accounting and other related duties for the organization.2. Prepares monthly balance sheets, income statements, and profit and loss statements.3. Maintains the general ledger. Codes invoices, sets up new accounts, reconciles accounts, and closes the monthly books.We offer competitive salary & benefit such us Gaji Pokok & Tunjangan, BPJS Kesehatan, BPJS Ketenagakerjaan, Tunjangan Pajak, Etc.",Akuntansi & Pelaporan Finansial (Akuntansi)
FINANCE ACCOUNTING,NEST FAMILY REFLEXOLOGY & SPA,"South Tangerang, Banten",Penuh waktu,Rp 4.000.000 – Rp 4.500.000 per month,"KUALIFIKASI
1. Memiliki pengalaman sebagai akuntan minimal 1 tahun.
2. Mahir dalam menggunakan Ms Word dan Ms. Excel.
3. Memiliki pengetahuan tentang sistem informasi akuntansi.
4. Memiliki minat dan keterampilan matematika yang bagus.
5. Detail dan teliti.
6. Dapat bekerja sama dalam tim.
7. Memiliki kemampuan berkomunikasi yang baik.
8. Memiliki komitmen, integritas dan mampu menjaga rahasia perusahaan.
9. Merupakan lulusan D3/S1 Akuntansi.
10. Paham tentang berbagai aplikasi / software akuntansi seperti Myob dkk.
11. Paham dan mampu membuat laporan keuangan.DESKRIPSI PEKERJAAN
1. Mengelola dan menyusun laporan keuangan, catatan/nota/faktur, serta akun.
2. Melakukan pencatatan transaksi keuangan dalam buku besar.
3. Memelihara dan memperbaruan catatan dan file akuntansi.
4. Melakukan tutup buku akhir bulan dan akhir tahun.
5. Menyiapkan dokumen yang dibutuhkan dalam audit laporan keuangan.
6. Bertanggung jawab kepada manajer akuntansi dan melaporkan apa yang dikerjakan kepada manajer",Akuntansi & Pelaporan Finansial (Akuntansi)
Accounting Staff,PT Duta Cemerlang Motors ,"Semarang, Jawa Tengah",Penuh waktu,,"Deskripsi Pekerjaan:
Tugas & Tanggung Jawab;Membuat laporan transaksi keuangan harian subsidiaries.Memastikan pencatatan keuangan yang akurat dan tepat waktu.Mempersiapkan laporan keuangan bulanan masing-masing subsidiaries.Berkoordinasi dengan tim admin masing-masing subsidiaries dan manajemen untuk menyusun anggaran dan proyeksi keuangan
Kualifikasi :Pendidikan minimal D3/S1 di jurusan Akuntansi dari Universitas ternama.Pengalaman minimal 3 tahun di Kantor Akuntan Publik lebih disukai.Kemampuan menggunakan software Accurate.Kemampuan komunikasi yang baikKemampuan analitis yang kuat.Kemampuan bekerja secara mandiri dan dalam tim.Kepatuhan terhadap aturan dan peraturan keuangan.",Akuntansi & Pelaporan Finansial (Akuntansi)
HRIS Staff,PT Richeese Kuliner Indonesia ,"Bandung, Jawa Barat",Kontrak,,"Mengelola dan memastikan Sistem Informasi Sumber Daya Manusia (HRIS), bekerja dengan efisien Kualifikasi :- Pendidikan Min. D3 Sistem Informasi / Tehnik Informatika- Pengalaman Min. 1 Tahun di posisi yang sama atau di bidang IT Development- Memahami SQL Server, PHP framework, CSS, AngularJs1- Mengerti tentang Git Repository- Menguasai Ms. Office- Teliti- Penempatan Bandung",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
Data Analyst and Administration Marketing,Pengiklan Privat,"Sidoarjo, Jawa Timur",Penuh waktu,"Rp 4,500,000 – Rp 6,300,000 per month",Menguasai microsoft excelMampu berbahas inggrisMempunyai kemampuan untuk berkomunikasi dengan customerMempunyai kemampuan analys dataDapat bekerja sama dengan teamDapat bekerja dalam tekananPendidikan minim S1Usia max. 30 th,Asisten Administratif (Administrasi & Dukungan Perkantoran)
Credit Marketing Officer (CMO) - Yogyakarta,PT Tirta Rindang Unggul Ekatama Finance (TRUE FINANCE) ,DI Yogyakarta,Penuh waktu,"Rp 2,500,000 – Rp 3,500,000 per month",BenefitInsentiveJenjang karirNetworkingTrainingBPJS Kesehatan & Ketenagakerjaan Deskripsi PekerjaanMencari aplikasi/menjual pembiayaan kepada calon nasabahMempromosikan produk perusahaan kepada seluruh rekanan/calon nasabahMemelihara hubungan baik dengan rekanan & nasabah. Kualifikasi:Pendidikan D3 (Fresh gradaute di persilahkan melamar)Usia Ma 38 TahunMemiliki pengalaman 1 tahun yang sama dibidangnyaMenguasai area dan bahasa daerah setempatMemiliki dan bisa mengendarai R2 + SIM C (SIM A diutamakan)Memiliki smartphone android & gmailMemahami digital marketingPenampilan rapiSiap bekerja dengan targetMemiliki kemampuan analisa yang baikPernah menjadi Detailer diminatiNote :Untuk pembukaan cabang baru PT TRUE Finance di daerah Yogyakarta. Rencana akan mulai beroperasi di Januari 2024,Kredit (Perbankan & Layanan Finansial)
Data Engineer,PT I D X Partners,Jakarta Raya,Penuh waktu,,"id/x partners provide consulting services that specializes in utilizing data mining solutions combined with an integrated risk management and marketing discipline to help clients optimize the portfolio profitability and business process. We want you to be part of our team, in which you will play a major role helping us to fundamentally aspect of our solutions. As a you needed for this position, you will have the opportunity to build effective and efficient process for our software solutions.
You will be responsible:
Working in a project team to solve data issues from quality, integration to transformation. Variety of projects with structured and unstructured data types on many technologies and/or platforms.Perform ETL (Extract, Transform, Load)Models data structure from product needs to database tablesPerform query testing on large datasets, and define the best practices of data query style to meets business requirementDefine best practices for data migration and convertion Requirements:D3/S1 graduate from reputable university in IT or IS majorsMinimum GPA of 3.0Have 2+ years experience in Talend, SSIS, Data Stage or other data integration toolsKnowledge in Data Warehouse & Big Data is a plusFast learner and hard workingStrong analytical skillAble to speak/write in EnglishPreferred 2 year or more of relevant working experience.We offer:Attractive salary including THRWork in dynamic environmentHealth Insurance (after passing 3-month employment)Work in a startup with rapid innovation and experimentationOut-of-town, transportation and mobile phone allowanceQuarterly company gatheringAnnual company outing within Indonesia and ASEAN regionid/x partners are a private high growth organization headquartered in Jakarta and is a leading consulting firm for Data, Analytics & Decisioning solution in Asia-Pacific region. Our next-generation digital-enabler consultancy is the ideal place for you to grow your career. Are you up for the challenge?",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
